snapshot_date,store_id,product_id,current_stock,reorder_point,is_understocked,days_of_supply
2024-12-31,STR02,PRD023,182,31,0,11.4
2024-12-31,STR02,PRD024,33,26,0,1.7
2024-12-31,STR02,PRD025,194,29,0,10.2
2024-12-31,STR02,PRD026,162,20,0,54.0
2024-12-31,STR02,PRD027,65,11,0,3.8
2024-12-31,STR02,PRD028,69,46,0,5.8
2024-12-31,STR02,PRD029,63,44,0,3.7
2024-12-31,STR02,PRD030,84,43,0,14.0
2024-12-31,STR02,PRD031,44,22,0,4.9
2024-12-31,STR02,PRD032,116,43,0,116.0
2024-12-31,STR02,PRD033,174,11,0,19.3
2024-12-31,STR02,PRD034,139,14,0,46.3
2024-12-31,STR02,PRD035,179,31,0,8.9
2024-12-31,STR02,PRD036,182,23,0,91.0
2024-12-31,STR02,PRD037,87,40,0,29.0
2024-12-31,STR02,PRD038,113,32,0,8.7
2024-12-31,STR02,PRD039,157,16,0,15.7
2024-12-31,STR02,PRD040,130,22,0,8.7
2024-12-31,STR02,PRD041,122,39,0,6.8
2024-12-31,STR02,PRD042,137,44,0,8.1
2024-12-31,STR02,PRD043,149,40,0,21.3
2024-12-31,STR02,PRD044,152,34,0,8.0
2024-12-31,STR02,PRD045,78,45,0,7.8
2024-12-31,STR02,PRD046,144,13,0,8.5
2024-12-31,STR02,PRD047,73,47,0,24.3
2024-12-31,STR02,PRD048,67,42,0,6.7
2024-12-31,STR02,PRD049,66,25,0,11.0
2024-12-31,STR02,PRD050,73,12,0,24.3
2024-12-31,STR03,PRD001,122,25,0,6.4
2024-12-31,STR03,PRD002,69,37,0,11.5
2024-12-31,STR03,PRD003,19,48,1,1.4
2024-12-31,STR03,PRD004,103,38,0,25.8
2024-12-31,STR03,PRD005,148,31,0,9.2
2024-12-31,STR03,PRD006,136,34,0,45.3
2024-12-31,STR03,PRD007,182,12,0,15.2
2024-12-31,STR03,PRD008,60,34,0,15.0
2024-12-31,STR03,PRD009,6,33,1,0.7
2024-12-31,STR03,PRD010,106,28,0,21.2
2024-12-31,STR03,PRD011,47,50,1,2.5
2024-12-31,STR03,PRD012,42,27,0,4.2
2024-12-31,STR03,PRD013,170,25,0,10.0
2024-12-31,STR03,PRD014,23,50,1,1.1
2024-12-31,STR03,PRD015,143,13,0,7.5
2024-12-31,STR03,PRD016,3,23,1,0.2
2024-12-31,STR03,PRD017,195,39,0,48.8
2024-12-31,STR03,PRD018,102,44,0,14.6
2024-12-31,STR03,PRD019,175,24,0,9.7
2024-12-31,STR03,PRD020,46,17,0,11.5
2024-12-31,STR03,PRD021,4,34,1,4.0
2024-12-31,STR03,PRD022,186,10,0,37.2
2024-12-31,STR03,PRD023,127,31,0,7.1
2024-12-31,STR03,PRD024,85,26,0,5.7
2024-12-31,STR03,PRD025,58,29,0,4.5
2024-12-31,STR03,PRD026,124,20,0,8.3
2024-12-31,STR03,PRD027,25,11,0,1.7
2024-12-31,STR03,PRD028,74,46,0,18.5
2024-12-31,STR03,PRD029,85,44,0,5.7
2024-12-31,STR03,PRD030,19,43,1,1.6
2024-12-31,STR03,PRD031,112,22,0,5.9
2024-12-31,STR03,PRD032,163,43,0,11.6
2024-12-31,STR03,PRD033,106,11,0,5.3
2024-12-31,STR03,PRD034,162,14,0,8.5
2024-12-31,STR03,PRD035,93,31,0,6.6
2024-12-31,STR03,PRD036,144,23,0,9.0
2024-12-31,STR03,PRD037,39,40,1,19.5
2024-12-31,STR03,PRD038,186,32,0,11.6
2024-12-31,STR03,PRD039,14,16,1,7.0
2024-12-31,STR03,PRD040,191,22,0,19.1
2024-12-31,STR03,PRD041,54,39,0,3.0
2024-12-31,STR03,PRD042,2,44,1,0.1
2024-12-31,STR03,PRD043,89,40,0,7.4
2024-12-31,STR03,PRD044,154,34,0,38.5
2024-12-31,STR03,PRD045,199,45,0,18.1
2024-12-31,STR03,PRD046,120,13,0,24.0
2024-12-31,STR03,PRD047,181,47,0,10.1
2024-12-31,STR03,PRD048,45,42,0,2.2
2024-12-31,STR03,PRD049,105,25,0,8.8
2024-12-31,STR03,PRD050,59,12,0,59.0
2024-12-31,STR04,PRD001,10,25,1,0.7
2024-12-31,STR04,PRD002,95,37,0,5.9
2024-12-31,STR04,PRD003,30,48,1,10.0
2024-12-31,STR04,PRD004,98,38,0,5.8
2024-12-31,STR04,PRD005,140,31,0,20.0
2024-12-31,STR04,PRD006,35,34,0,5.8
2024-12-31,STR04,PRD007,166,12,0,55.3
2024-12-31,STR04,PRD008,109,34,0,9.9
2024-12-31,STR04,PRD009,83,33,0,4.9
2024-12-31,STR04,PRD010,116,28,0,10.5
2024-12-31,STR04,PRD011,153,50,0,15.3
2024-12-31,STR04,PRD012,112,27,0,16.0
2024-12-31,STR04,PRD013,133,25,0,8.3
2024-12-31,STR04,PRD014,13,50,1,0.7
2024-12-31,STR04,PRD015,130,13,0,26.0
2024-12-31,STR04,PRD016,110,23,0,36.7
2024-12-31,STR04,PRD017,148,39,0,24.7
2024-12-31,STR04,PRD018,91,44,0,5.7
2024-12-31,STR04,PRD019,29,24,0,14.5
2024-12-31,STR04,PRD020,86,17,0,4.3
2024-12-31,STR04,PRD021,93,34,0,4.9
2024-12-31,STR04,PRD022,10,10,0,3.3
2024-12-31,STR04,PRD023,189,31,0,63.0
2024-12-31,STR04,PRD024,135,26,0,67.5
2024-12-31,STR04,PRD025,104,29,0,26.0
2024-12-31,STR04,PRD026,163,20,0,8.6
2024-12-31,STR04,PRD027,169,11,0,84.5
2024-12-31,STR04,PRD028,80,46,0,26.7
2024-12-31,STR04,PRD029,64,44,0,8.0
2024-12-31,STR04,PRD030,112,43,0,18.7
2024-12-31,STR04,PRD031,53,22,0,13.2
2024-12-31,STR04,PRD032,127,43,0,21.2
2024-12-31,STR04,PRD033,152,11,0,10.9
2024-12-31,STR04,PRD034,99,14,0,24.8
2024-12-31,STR04,PRD035,22,31,1,1.3
2024-12-31,STR04,PRD036,122,23,0,40.7
2024-12-31,STR04,PRD037,116,40,0,6.1
2024-12-31,STR04,PRD038,130,32,0,7.2
2024-12-31,STR04,PRD039,15,16,1,1.0
2024-12-31,STR04,PRD040,130,22,0,21.7
2024-12-31,STR04,PRD041,191,39,0,191.0
2024-12-31,STR04,PRD042,183,44,0,36.6
2024-12-31,STR04,PRD043,112,40,0,28.0
2024-12-31,STR04,PRD044,90,34,0,9.0
2024-12-31,STR04,PRD045,189,45,0,18.9
2024-12-31,STR04,PRD046,121,13,0,11.0
2024-12-31,STR04,PRD047,10,47,1,0.7
2024-12-31,STR04,PRD048,55,42,0,27.5
2024-12-31,STR04,PRD049,162,25,0,8.1
2024-12-31,STR04,PRD050,149,12,0,29.8
2024-12-31,STR05,PRD001,96,25,0,8.0
2024-12-31,STR05,PRD002,7,37,1,0.7
2024-12-31,STR05,PRD003,31,48,1,31.0
2024-12-31,STR05,PRD004,83,38,0,20.8
2024-12-31,STR05,PRD005,155,31,0,51.7
2024-12-31,STR05,PRD006,127,34,0,10.6
2024-12-31,STR05,PRD007,168,12,0,10.5
2024-12-31,STR05,PRD008,22,34,1,5.5
2024-12-31,STR05,PRD009,5,33,1,0.3
2024-12-31,STR05,PRD010,170,28,0,42.5
2024-12-31,STR05,PRD011,97,50,0,9.7
2024-12-31,STR05,PRD012,35,27,0,1.8
2024-12-31,STR05,PRD013,43,25,0,3.6
2024-12-31,STR05,PRD014,96,50,0,6.0
2024-12-31,STR05,PRD015,107,13,0,5.9
2024-12-31,STR05,PRD016,70,23,0,6.4
2024-12-31,STR05,PRD017,115,39,0,115.0
2024-12-31,STR05,PRD018,135,44,0,15.0
2024-12-31,STR05,PRD019,188,24,0,188.0
2024-12-31,STR05,PRD020,142,17,0,9.5
2024-12-31,STR05,PRD021,2,34,1,0.1
2024-12-31,STR05,PRD022,23,10,0,5.8
2024-12-31,STR05,PRD023,159,31,0,19.9
2024-12-31,STR05,PRD024,5,26,1,0.2
2024-12-31,STR05,PRD025,12,29,1,0.9
2024-12-31,STR05,PRD026,192,20,0,11.3
2024-12-31,STR05,PRD027,132,11,0,6.9
2024-12-31,STR05,PRD028,194,46,0,11.4
2024-12-31,STR05,PRD029,134,44,0,7.4
2024-12-31,STR05,PRD030,195,43,0,32.5
2024-12-31,STR05,PRD031,138,22,0,13.8
2024-12-31,STR05,PRD032,111,43,0,55.5
2024-12-31,STR05,PRD033,84,11,0,4.2
2024-12-31,STR05,PRD034,69,14,0,34.5
2024-12-31,STR05,PRD035,86,31,0,4.8
2024-12-31,STR05,PRD036,20,23,1,2.9
2024-12-31,STR05,PRD037,21,40,1,1.9
2024-12-31,STR05,PRD038,9,32,1,0.5
2024-12-31,STR05,PRD039,197,16,0,15.2
2024-12-31,STR05,PRD040,197,22,0,10.4
2024-12-31,STR05,PRD041,113,39,0,5.7
2024-12-31,STR05,PRD042,134,44,0,9.6
2024-12-31,STR05,PRD043,131,40,0,65.5
2024-12-31,STR05,PRD044,121,34,0,9.3
2024-12-31,STR05,PRD045,86,45,0,14.3
2024-12-31,STR05,PRD046,163,13,0,11.6
2024-12-31,STR05,PRD047,194,47,0,48.5
2024-12-31,STR05,PRD048,168,42,0,15.3
2024-12-31,STR05,PRD049,45,25,0,45.0
2024-12-31,STR05,PRD050,7,12,1,0.6
2024-12-31,STR06,PRD001,77,25,0,4.5
2024-12-31,STR06,PRD002,55,37,0,6.1
2024-12-31,STR06,PRD003,83,48,0,4.9
2024-12-31,STR06,PRD004,46,38,0,7.7
2024-12-31,STR06,PRD005,88,31,0,4.4
2024-12-31,STR06,PRD006,115,34,0,7.2
2024-12-31,STR06,PRD007,45,12,0,2.2
2024-12-31,STR06,PRD008,108,34,0,6.8
2024-12-31,STR06,PRD009,67,33,0,13.4
2024-12-31,STR06,PRD010,142,28,0,15.8
2024-12-31,STR06,PRD011,182,50,0,36.4
2024-12-31,STR06,PRD012,127,27,0,8.5
2024-12-31,STR06,PRD013,24,25,1,8.0
2024-12-31,STR06,PRD014,96,50,0,8.7
2024-12-31,STR06,PRD015,136,13,0,22.7
2024-12-31,STR06,PRD016,119,23,0,14.9
2024-12-31,STR06,PRD017,11,39,1,0.6
2024-12-31,STR06,PRD018,86,44,0,5.7
2024-12-31,STR06,PRD019,75,24,0,6.2
2024-12-31,STR06,PRD020,88,17,0,17.6
2024-12-31,STR06,PRD021,136,34,0,22.7
2024-12-31,STR06,PRD022,103,10,0,34.3
2024-12-31,STR06,PRD023,166,31,0,20.8
2024-12-31,STR06,PRD024,160,26,0,160.0
2024-12-31,STR06,PRD025,131,29,0,16.4
2024-12-31,STR06,PRD026,149,20,0,18.6
2024-12-31,STR06,PRD027,178,11,0,9.4
2024-12-31,STR06,PRD028,186,46,0,10.3
2024-12-31,STR06,PRD029,159,44,0,10.6
2024-12-31,STR06,PRD030,42,43,1,6.0
2024-12-31,STR06,PRD031,43,22,0,4.8
2024-12-31,STR06,PRD032,99,43,0,19.8
2024-12-31,STR06,PRD033,5,11,1,0.5
2024-12-31,STR06,PRD034,57,14,0,3.2
2024-12-31,STR06,PRD035,83,31,0,8.3
2024-12-31,STR06,PRD036,98,23,0,6.5
2024-12-31,STR06,PRD037,29,40,1,1.6
2024-12-31,STR06,PRD038,6,32,1,1.2
2024-12-31,STR06,PRD039,21,16,0,1.4
2024-12-31,STR06,PRD040,39,22,0,6.5
2024-12-31,STR06,PRD041,139,39,0,27.8
2024-12-31,STR06,PRD042,19,44,1,4.8
2024-12-31,STR06,PRD043,97,40,0,6.5
2024-12-31,STR06,PRD044,103,34,0,9.4
2024-12-31,STR06,PRD045,189,45,0,14.5
2024-12-31,STR06,PRD046,87,13,0,8.7
2024-12-31,STR06,PRD047,19,47,1,1.3
2024-12-31,STR06,PRD048,35,42,1,1.8
2024-12-31,STR06,PRD049,57,25,0,3.6
2024-12-31,STR06,PRD050,14,12,0,0.8
2024-12-31,STR07,PRD001,171,25,0,13.2
2024-12-31,STR07,PRD002,3,37,1,0.1
2024-12-31,STR07,PRD003,172,48,0,57.3
2024-12-31,STR07,PRD004,93,38,0,6.2
2024-12-31,STR07,PRD005,123,31,0,20.5
2024-12-31,STR07,PRD006,90,34,0,15.0
2024-12-31,STR07,PRD007,21,12,0,2.1
2024-12-31,STR07,PRD008,171,34,0,12.2
2024-12-31,STR07,PRD009,1,33,1,0.1
2024-12-31,STR07,PRD010,149,28,0,7.8
2024-12-31,STR07,PRD011,117,50,0,7.3
2024-12-31,STR07,PRD012,123,27,0,11.2
2024-12-31,STR07,PRD013,52,25,0,6.5
2024-12-31,STR07,PRD014,180,50,0,9.0
2024-12-31,STR07,PRD015,166,13,0,8.7
2024-12-31,STR07,PRD016,130,23,0,26.0
2024-12-31,STR07,PRD017,163,39,0,8.6
2024-12-31,STR07,PRD018,85,44,0,5.0
2024-12-31,STR07,PRD019,199,24,0,33.2
2024-12-31,STR07,PRD020,185,17,0,185.0
2024-12-31,STR07,PRD021,49,34,0,2.7
2024-12-31,STR07,PRD022,161,10,0,8.9
2024-12-31,STR07,PRD023,101,31,0,7.8
2024-12-31,STR07,PRD024,67,26,0,11.2
2024-12-31,STR07,PRD025,187,29,0,12.5
2024-12-31,STR07,PRD026,108,20,0,108.0
2024-12-31,STR07,PRD027,105,11,0,17.5
2024-12-31,STR07,PRD028,158,46,0,158.0
2024-12-31,STR07,PRD029,181,44,0,22.6
2024-12-31,STR07,PRD030,174,43,0,15.8
2024-12-31,STR07,PRD031,36,22,0,3.0
2024-12-31,STR07,PRD032,19,43,1,0.9
2024-12-31,STR07,PRD033,28,11,0,2.0
2024-12-31,STR07,PRD034,37,14,0,4.1
2024-12-31,STR07,PRD035,129,31,0,12.9
2024-12-31,STR07,PRD036,148,23,0,7.8
2024-12-31,STR07,PRD037,15,40,1,1.5
2024-12-31,STR07,PRD038,172,32,0,11.5
2024-12-31,STR07,PRD039,59,16,0,59.0
2024-12-31,STR07,PRD040,27,22,0,27.0
2024-12-31,STR07,PRD041,193,39,0,12.1
2024-12-31,STR07,PRD042,33,44,1,11.0
2024-12-31,STR07,PRD043,142,40,0,8.4
2024-12-31,STR07,PRD044,105,34,0,52.5
2024-12-31,STR07,PRD045,16,45,1,1.1
2024-12-31,STR07,PRD046,1,13,1,1.0
2024-12-31,STR07,PRD047,62,47,0,6.9
2024-12-31,STR07,PRD048,90,42,0,6.4
2024-12-31,STR07,PRD049,12,25,1,0.9
2024-12-31,STR07,PRD050,33,12,0,1.8
2024-12-31,STR08,PRD001,134,25,0,14.9
2024-12-31,STR08,PRD002,106,37,0,8.2
2024-12-31,STR08,PRD003,102,48,0,10.2
2024-12-31,STR08,PRD004,86,38,0,17.2
2024-12-31,STR08,PRD005,84,31,0,5.6
2024-12-31,STR08,PRD006,32,34,1,2.7
2024-12-31,STR08,PRD007,49,12,0,2.9
2024-12-31,STR08,PRD008,12,34,1,12.0
2024-12-31,STR08,PRD009,1,33,1,0.1
2024-12-31,STR08,PRD010,197,28,0,16.4
2024-12-31,STR08,PRD011,64,50,0,3.4
2024-12-31,STR08,PRD012,129,27,0,7.2
2024-12-31,STR08,PRD013,169,25,0,9.4
2024-12-31,STR08,PRD014,28,50,1,14.0
2024-12-31,STR08,PRD015,31,13,0,2.6
2024-12-31,STR08,PRD016,138,23,0,7.3
2024-12-31,STR08,PRD017,100,39,0,7.1
2024-12-31,STR08,PRD018,38,44,1,6.3
2024-12-31,STR08,PRD019,66,24,0,8.2
2024-12-31,STR08,PRD020,25,17,0,1.5
2024-12-31,STR08,PRD021,121,34,0,30.2
2024-12-31,STR08,PRD022,175,10,0,10.3
2024-12-31,STR08,PRD023,163,31,0,10.2
2024-12-31,STR08,PRD024,10,26,1,2.5
2024-12-31,STR08,PRD025,72,29,0,14.4
2024-12-31,STR08,PRD026,139,20,0,139.0
2024-12-31,STR08,PRD027,70,11,0,4.7
2024-12-31,STR08,PRD028,90,46,0,4.5
2024-12-31,STR08,PRD029,199,44,0,24.9
2024-12-31,STR08,PRD030,68,43,0,3.6
2024-12-31,STR08,PRD031,50,22,0,7.1
2024-12-31,STR08,PRD032,60,43,0,20.0
2024-12-31,STR08,PRD033,13,11,0,1.3
2024-12-31,STR08,PRD034,180,14,0,90.0
2024-12-31,STR08,PRD035,117,31,0,9.8
2024-12-31,STR08,PRD036,125,23,0,11.4
2024-12-31,STR08,PRD037,150,40,0,9.4
2024-12-31,STR08,PRD038,9,32,1,0.8
2024-12-31,STR08,PRD039,32,16,0,3.6
2024-12-31,STR08,PRD040,107,22,0,17.8
2024-12-31,STR08,PRD041,177,39,0,13.6
2024-12-31,STR08,PRD042,44,44,0,2.6
2024-12-31,STR08,PRD043,119,40,0,39.7
2024-12-31,STR08,PRD044,132,34,0,10.2
2024-12-31,STR08,PRD045,162,45,0,20.2
2024-12-31,STR08,PRD046,60,13,0,10.0
2024-12-31,STR08,PRD047,137,47,0,34.2
2024-12-31,STR08,PRD048,150,42,0,150.0
2024-12-31,STR08,PRD049,82,25,0,11.7
2024-12-31,STR08,PRD050,52,12,0,8.7
2024-12-31,STR09,PRD001,80,25,0,80.0
2024-12-31,STR09,PRD002,22,37,1,1.8
2024-12-31,STR09,PRD003,137,48,0,137.0
2024-12-31,STR09,PRD004,104,38,0,6.9
2024-12-31,STR09,PRD005,68,31,0,68.0
2024-12-31,STR09,PRD006,162,34,0,10.8
2024-12-31,STR09,PRD007,73,12,0,6.6
2024-12-31,STR09,PRD008,142,34,0,12.9
2024-12-31,STR09,PRD009,35,33,0,5.0
2024-12-31,STR09,PRD010,76,28,0,38.0
2024-12-31,STR09,PRD011,125,50,0,8.3
2024-12-31,STR09,PRD012,134,27,0,67.0
2024-12-31,STR09,PRD013,199,25,0,22.1
2024-12-31,STR09,PRD014,87,50,0,87.0
2024-12-31,STR09,PRD015,5,13,1,0.4
2024-12-31,STR09,PRD016,174,23,0,10.2
2024-12-31,STR09,PRD017,147,39,0,16.3
2024-12-31,STR09,PRD018,135,44,0,7.1
2024-12-31,STR09,PRD019,73,24,0,5.2
2024-12-31,STR09,PRD020,117,17,0,23.4
2024-12-31,STR09,PRD021,66,34,0,4.1
2024-12-31,STR09,PRD022,0,10,1,0.0
2024-12-31,STR09,PRD023,29,31,1,1.5
2024-12-31,STR09,PRD024,27,26,0,4.5
2024-12-31,STR09,PRD025,25,29,1,1.8
2024-12-31,STR09,PRD026,199,20,0,22.1
2024-12-31,STR09,PRD027,103,11,0,10.3
2024-12-31,STR09,PRD028,41,46,1,4.6
2024-12-31,STR09,PRD029,174,44,0,10.2
2024-12-31,STR09,PRD030,112,43,0,112.0
2024-12-31,STR09,PRD031,79,22,0,39.5
2024-12-31,STR09,PRD032,133,43,0,33.2
2024-12-31,STR09,PRD033,119,11,0,7.0
2024-12-31,STR09,PRD034,187,14,0,31.2
2024-12-31,STR09,PRD035,67,31,0,13.4
2024-12-31,STR09,PRD036,10,23,1,0.8
2024-12-31,STR09,PRD037,8,40,1,1.1
2024-12-31,STR09,PRD038,42,32,0,3.2
2024-12-31,STR09,PRD039,113,16,0,18.8
2024-12-31,STR09,PRD040,48,22,0,2.4
2024-12-31,STR09,PRD041,182,39,0,11.4
2024-12-31,STR09,PRD042,175,44,0,87.5
2024-12-31,STR09,PRD043,98,40,0,10.9
2024-12-31,STR09,PRD044,144,34,0,48.0
2024-12-31,STR09,PRD045,88,45,0,29.3
2024-12-31,STR09,PRD046,41,13,0,2.3
2024-12-31,STR09,PRD047,99,47,0,12.4
2024-12-31,STR09,PRD048,191,42,0,15.9
2024-12-31,STR09,PRD049,55,25,0,2.8
2024-12-31,STR09,PRD050,35,12,0,3.9
2024-12-31,STR10,PRD001,165,25,0,33.0
2024-12-31,STR10,PRD002,73,37,0,14.6
2024-12-31,STR10,PRD003,168,48,0,15.3
2024-12-31,STR10,PRD004,155,38,0,22.1
2024-12-31,STR10,PRD005,165,31,0,8.2
2024-12-31,STR10,PRD006,126,34,0,7.9
2024-12-31,STR10,PRD007,93,12,0,5.5
2024-12-31,STR10,PRD008,158,34,0,9.3
2024-12-31,STR10,PRD009,11,33,1,0.6
2024-12-31,STR10,PRD010,59,28,0,3.0
2024-12-31,STR10,PRD011,47,50,1,3.9
2024-12-31,STR10,PRD012,5,27,1,0.3
2024-12-31,STR10,PRD013,13,25,1,0.8
2024-12-31,STR10,PRD014,177,50,0,9.3
2024-12-31,STR10,PRD015,128,13,0,9.8
2024-12-31,STR10,PRD016,4,23,1,0.6
2024-12-31,STR10,PRD017,11,39,1,1.0
2024-12-31,STR10,PRD018,141,44,0,141.0
2024-12-31,STR10,PRD019,30,24,0,3.8
2024-12-31,STR10,PRD020,52,17,0,3.2
2024-12-31,STR10,PRD021,58,34,0,3.6
2024-12-31,STR10,PRD022,10,10,0,0.6
2024-12-31,STR10,PRD023,48,31,0,6.9
2024-12-31,STR10,PRD024,78,26,0,19.5
2024-12-31,STR10,PRD025,104,29,0,20.8
2024-12-31,STR10,PRD026,199,20,0,11.1
2024-12-31,STR10,PRD027,141,11,0,11.8
2024-12-31,STR10,PRD028,175,46,0,11.7
2024-12-31,STR10,PRD029,67,44,0,16.8
2024-12-31,STR10,PRD030,51,43,0,3.2
2024-12-31,STR10,PRD031,197,22,0,12.3
2024-12-31,STR10,PRD032,50,43,0,5.6
2024-12-31,STR10,PRD033,137,11,0,137.0
2024-12-31,STR10,PRD034,93,14,0,5.2
2024-12-31,STR10,PRD035,94,31,0,10.4
2024-12-31,STR10,PRD036,167,23,0,23.9
2024-12-31,STR10,PRD037,135,40,0,19.3
2024-12-31,STR10,PRD038,25,32,1,2.5
2024-12-31,STR10,PRD039,22,16,0,2.2
2024-12-31,STR10,PRD040,125,22,0,20.8
2024-12-31,STR10,PRD041,158,39,0,17.6
2024-12-31,STR10,PRD042,18,44,1,9.0
2024-12-31,STR10,PRD043,48,40,0,4.4
2024-12-31,STR10,PRD044,17,34,1,1.0
2024-12-31,STR10,PRD045,187,45,0,17.0
2024-12-31,STR10,PRD046,86,13,0,7.2
2024-12-31,STR10,PRD047,178,47,0,17.8
2024-12-31,STR10,PRD048,159,42,0,159.0
2024-12-31,STR10,PRD049,95,25,0,15.8
2024-12-31,STR10,PRD050,140,12,0,35.0
